# TEST CONFIGURATION BEGIN
# FileStream(filename='covtype.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ARD] AdaptiveRandomForest(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.001), grace_period=10, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features='auto', memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.1, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.005, warning_detection_method=ADWIN(delta=0.01))
# EvaluatePrequentialAndAdapt(batch_size=1, data_points_for_classification=False, max_samples=581012, max_time=inf, metaKB={0.0: 60, 0.1: 30, 0.2: 30, 0.3: 30, 0.4: 60, 0.5: 70, 0.6: 60, 0.7: 30, 0.8: 30, 0.9: 30}, metrics=['accuracy', 'kappa', 'running_time', 'ram_hours'], n_wait=1000, output_file='Covertype_AdativeSetting_Trees_Adapt_Drift_ARDClassic_Run0.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARD],current_acc_[ARD],mean_kappa_[ARD],current_kappa_[ARD],training_time_[ARD],testing_time_[ARD],total_running_time_[ARD],ram_hours_[ARD]
196999,0.942287,0.969000,0.879378,0.938865,19187.528075,2065.069301,21252.597375,0.860616
197999,0.942477,0.980000,0.879914,0.960546,19300.263773,2076.785360,21377.049133,0.869868
198999,0.942641,0.975000,0.880434,0.950183,19378.590729,2083.568383,21462.159112,0.876527
199999,0.942808,0.976000,0.880885,0.952923,19486.152683,2094.348860,21580.501543,0.885090
200999,0.942963,0.974000,0.881418,0.948622,19604.409756,2106.623002,21711.032757,0.895318
201999,0.943043,0.959000,0.881846,0.916703,19730.540544,2119.225595,21849.766139,0.906282
202999,0.943087,0.952000,0.882260,0.894453,19857.959097,2131.827759,21989.786856,0.917501
203999,0.943131,0.952000,0.882653,0.894697,19949.551076,2140.420032,22089.971108,0.925273
204999,0.943213,0.960000,0.883076,0.915881,20037.594151,2148.550114,22186.144266,0.931814
205999,0.943309,0.963000,0.883580,0.911642,20127.724827,2157.422137,22285.146963,0.938758
206999,0.943467,0.976000,0.884218,0.942162,20239.054652,2169.514956,22408.569609,0.948088
207999,0.943657,0.983000,0.884917,0.959990,20348.520871,2181.791183,22530.312054,0.957053
208999,0.943774,0.968000,0.885485,0.930812,20465.606433,2194.273446,22659.879879,0.967236
209999,0.943837,0.957000,0.885835,0.909533,20587.685269,2206.822272,22794.507541,0.978521
210999,0.943852,0.947000,0.886119,0.882704,20715.559011,2219.442971,22935.001982,0.990888
211999,0.943909,0.956000,0.886419,0.922981,20807.249926,2227.337250,23034.587177,0.999886
212999,0.943938,0.950000,0.886727,0.915451,20885.964942,2234.227677,23120.192620,1.007892
213999,0.943971,0.951000,0.887082,0.918436,20969.702018,2241.537259,23211.239277,1.015012
214999,0.943971,0.944000,0.887380,0.914215,21098.972738,2253.845013,23352.817751,1.026708
215999,0.944120,0.976000,0.887902,0.963293,21207.263756,2263.904471,23471.168228,1.037041
216999,0.944077,0.935000,0.888033,0.898043,21293.351397,2271.068412,23564.419809,1.044805
217999,0.944105,0.950000,0.888156,0.910304,21425.060940,2283.227508,23708.288448,1.057229
218999,0.944113,0.946000,0.888211,0.897929,21534.473910,2292.313865,23826.787776,1.067790
219999,0.944199,0.963000,0.888458,0.934159,21662.379685,2304.291846,23966.671531,1.079823
220999,0.944303,0.967000,0.888691,0.936470,21763.468016,2313.407481,24076.875497,1.089039
221999,0.944346,0.954000,0.888873,0.921242,21852.143609,2320.469804,24172.613413,1.096959
222999,0.944237,0.920000,0.888677,0.842241,21949.274218,2327.558248,24276.832466,1.105571
223999,0.944231,0.943000,0.888800,0.907006,22083.029857,2339.971020,24423.000877,1.117157
224999,0.944244,0.947000,0.888905,0.907533,22186.423227,2348.719196,24535.142423,1.124835
225999,0.944291,0.955000,0.889066,0.918379,22312.339828,2361.318522,24673.658350,1.135113
226999,0.944405,0.970000,0.889357,0.945628,22435.322043,2373.789142,24809.111185,1.145113
227999,0.944517,0.970000,0.889674,0.948220,22526.901694,2382.371970,24909.273664,1.151850
228999,0.944611,0.966000,0.889939,0.939804,22604.035979,2389.448893,24993.484872,1.157775
229999,0.944634,0.950000,0.890082,0.914644,22690.097097,2396.564338,25086.661434,1.164626
230999,0.944649,0.948000,0.890192,0.909650,22799.534316,2406.787497,25206.321813,1.173444
231999,0.944707,0.958000,0.890397,0.927892,22931.430313,2419.852816,25351.283129,1.183571
