# TEST CONFIGURATION BEGIN
# FileStream(filename='elec.csv', target_idx=-1, n_targets=1, cat_features=None)
# [ARD] AdaptiveRandomForest(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.001), grace_period=10, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features='auto', memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.1, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.005, warning_detection_method=ADWIN(delta=0.01))
# EvaluatePrequentialAndAdapt(batch_size=1, data_points_for_classification=False, max_samples=45312, max_time=inf, metaKB={0.0: 60, 0.1: 30, 0.2: 30, 0.3: 30, 0.4: 60, 0.5: 70, 0.6: 60, 0.7: 30, 0.8: 30, 0.9: 30}, metrics=['accuracy', 'kappa', 'running_time', 'ram_hours'], n_wait=50, output_file='Electricity_AdativeSetting_Trees_Adapt_Drift_ARDClassic_Run0.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[ARD],current_acc_[ARD],mean_kappa_[ARD],current_kappa_[ARD],training_time_[ARD],testing_time_[ARD],total_running_time_[ARD],ram_hours_[ARD]
11949,0.869532,0.860000,0.734921,0.631579,912.766561,60.729508,973.496068,0.024400
11999,0.869068,0.760000,0.733945,0.520000,918.576624,60.888928,979.465551,0.024671
12049,0.869283,0.920000,0.734360,0.834437,922.355979,61.044872,983.400851,0.024850
12099,0.869244,0.860000,0.734266,0.716370,927.819652,61.208693,989.028345,0.025108
12149,0.868870,0.780000,0.733549,0.564184,933.852963,61.370770,995.223733,0.025394
12199,0.868917,0.880000,0.733622,0.753695,938.921044,61.532705,1000.453749,0.025636
12249,0.868880,0.860000,0.733360,0.302789,944.427158,61.698405,1006.125563,0.025900
12299,0.869174,0.940000,0.733943,0.876442,950.561743,61.862522,1012.424265,0.026195
12349,0.868807,0.780000,0.733307,0.551387,956.706124,62.021571,1018.727695,0.026492
12399,0.868852,0.880000,0.733569,0.693878,961.927714,62.181098,1024.108812,0.026747
12449,0.868653,0.820000,0.733313,0.579439,966.790051,62.342303,1029.132354,0.026985
12499,0.868293,0.780000,0.732726,0.495413,971.599554,62.502272,1034.101825,0.027222
12549,0.867530,0.680000,0.731296,0.360000,976.526677,62.658824,1039.185501,0.027465
12599,0.866129,0.520000,0.728436,0.193548,983.508446,62.822004,1046.330450,0.027808
12649,0.866265,0.900000,0.728696,0.794069,989.360375,62.985948,1052.346323,0.028098
12699,0.866800,1.000000,0.729854,1.000000,992.980694,63.145640,1056.126333,0.028281
12749,0.866853,0.880000,0.729938,0.753695,996.781668,63.305525,1060.087193,0.028473
12799,0.866905,0.880000,0.730135,0.745763,1002.283077,63.469959,1065.753036,0.028750
12849,0.867115,0.920000,0.730640,0.834437,1006.976082,63.635017,1070.611099,0.028988
12899,0.867244,0.900000,0.731015,0.774775,1012.457571,63.799904,1076.257475,0.029265
12949,0.867137,0.840000,0.730875,0.675325,1017.577385,63.965145,1081.542530,0.029526
12999,0.867109,0.860000,0.730927,0.686941,1023.167193,64.126495,1087.293688,0.029812
13049,0.866615,0.740000,0.729855,0.416517,1027.758153,64.287501,1092.045654,0.030048
13099,0.866822,0.920000,0.730328,0.838710,1031.865770,64.448988,1096.314758,0.030262
13149,0.867104,0.940000,0.730931,0.880000,1036.448971,64.614049,1101.063019,0.030500
13199,0.867462,0.960000,0.731726,0.916667,1040.356055,64.778706,1105.134761,0.030705
13249,0.867433,0.860000,0.731761,0.695652,1045.312904,64.942852,1110.255756,0.030964
